Sr. No,Semester,Course Code,Course Title,Credit Hours,Grade,Grade Point,SGPA,CGPA,Warning
43,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
44,Fall,EE182,Basic Electronics,3,C-,1.67,2.14,2.14,0
44,Fall,SS101,English Language,3,A-,3.67,2.14,2.14,0
44,Fall,MT119,Calculus and Analytical Geometry,3,C,2,2.14,2.14,0
44,Fall,SL101,English Language Lab,1,A-,3.67,2.14,2.14,0
44,Fall,MT104,Linear Algebra,3,F,0,2.14,2.14,0
44,Fall,CL118,Programming Fundamentals - Lab,1,B-,2.67,2.14,2.14,0
44,Fall,CS118,Programming Fundamentals,3,B-,2.67,2.14,2.14,0
44,Fall,CS201,Data Structures,3,F,0,1.88,2.43,0
44,Spring,EE227,Digital Logic Design,3,C+,2.33,2.31,2.44,0
44,Spring,CL217,Computer Programming Lab,1,F,0,2.31,2.44,0
44,Spring,SS122,English Composition,3,A-,3.67,2.31,2.44,0
44,Spring,SS113,Pakistan Studies,3,B,3,2.31,2.44,0
44,Spring,CS217,Computer Programming,3,F,0,2.31,2.44,0
44,Spring,MT104,Linear Algebra,3,B+,3.33,2.31,2.44,0
44,Spring,EL227,Digital Logic Design - Lab,1,C+,2.33,2.31,2.44,0
44,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
44,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
44,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
44,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
44,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
44,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
44,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
44,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
45,Fall,CL118,Programming Fundamentals - Lab,1,C+,2.33,3.29,3.29,0
45,Fall,MT104,Linear Algebra,3,A-,3.67,3.29,3.29,0
45,Fall,MT119,Calculus and Analytical Geometry,3,B+,3.33,3.29,3.29,0
45,Fall,CS118,Programming Fundamentals,3,B-,2.67,3.29,3.29,0
45,Fall,SL101,English Language Lab,1,A-,3.67,3.29,3.29,0
45,Fall,EE182,Basic Electronics,3,A,4,3.29,3.29,0
45,Fall,SS101,English Language,3,B,3,3.29,3.29,0
45,Fall,CS201,Data Structures,3,B+,3.33,3.79,3.51,0
45,Spring,CL217,Computer Programming Lab,1,B,3,3.47,3.38,0
45,Spring,CS217,Computer Programming,3,B-,2.67,3.47,3.38,0
45,Spring,SS122,English Composition,3,B+,3.33,3.47,3.38,0
45,Spring,EL227,Digital Logic Design - Lab,1,A,4,3.47,3.38,0
45,Spring,SS113,Pakistan Studies,3,A-,3.67,3.47,3.38,0
45,Spring,MT224,Differential Equations (Cal II),3,A-,3.67,3.47,3.38,0
45,Spring,EE227,Digital Logic Design,3,A+,4,3.47,3.38,0
45,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
45,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
45,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
45,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
45,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
45,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
45,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
46,Fall,EE182,Basic Electronics,3,FA,0,0,0,1
46,Fall,MT119,Calculus and Analytical Geometry,3,FA,0,0,0,1
46,Fall,CS118,Programming Fundamentals,3,FA,0,0,0,1
46,Fall,CL118,Programming Fundamentals - Lab,1,F,0,0,0,1
46,Fall,SS101,English Language,3,FA,0,0,0,1
46,Fall,SL101,English Language Lab,1,F,0,0,0,1
46,Fall,MT104,Linear Algebra,3,FA,0,0,0,1
46,Unknown,SS122,English Composition,3,UK,-1,0,0,0
46,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
46,Unknown,EE227,Digital Logic Design,3,UK,-1,0,0,0
46,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
46,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
46,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
46,Unknown,EL227,Digital Logic Design - Lab,1,UK,-1,0,0,0
46,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
46,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
46,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
46,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
46,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
46,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
46,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
46,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
47,Fall,SL101,English Language Lab,1,LL,0,0,0,1
47,Fall,CL118,Programming Fundamentals - Lab,1,LL,0,0,0,1
47,Fall,CS118,Programming Fundamentals,3,LL,0,0,0,1
47,Fall,MT119,Calculus and Analytical Geometry,3,LL,0,0,0,1
47,Fall,EE182,Basic Electronics,3,LL,0,0,0,1
47,Fall,SS101,English Language,3,LL,0,0,0,1
47,Fall,MT104,Linear Algebra,3,LL,0,0,0,1
47,Unknown,SS122,English Composition,3,UK,-1,0,0,0
47,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
47,Unknown,EE227,Digital Logic Design,3,UK,-1,0,0,0
47,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
47,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
47,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
47,Unknown,EL227,Digital Logic Design - Lab,1,UK,-1,0,0,0
47,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
47,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
47,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
47,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
47,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
47,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
47,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
47,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
48,Fall,SL101,English Language Lab,1,L1,0,0,0,1
48,Fall,CL118,Programming Fundamentals - Lab,1,L1,0,0,0,1
48,Fall,SS101,English Language,3,L1,0,0,0,1
48,Fall,MT104,Linear Algebra,3,L1,0,0,0,1
48,Fall,MT119,Calculus and Analytical Geometry,3,L1,0,0,0,1
48,Fall,CS118,Programming Fundamentals,3,L1,0,0,0,1
48,Fall,EE182,Basic Electronics,3,L1,0,0,0,1
48,Unknown,SS122,English Composition,3,UK,-1,0,0,0
48,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
48,Unknown,EE227,Digital Logic Design,3,UK,-1,0,0,0
48,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
48,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
48,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
