Sr. No,Semester,Course Code,Course Title,Credit Hours,Grade,Grade Point,SGPA,CGPA,Warning
56,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
57,Fall,SL101,English Language Lab,1,A+,4,3.65,3.65,0
57,Fall,MT104,Linear Algebra,3,A-,3.67,3.65,3.65,0
57,Fall,CS118,Programming Fundamentals,3,B+,3.33,3.65,3.65,0
57,Fall,EE182,Basic Electronics,3,A-,3.67,3.65,3.65,0
57,Fall,SS101,English Language,3,A+,4,3.65,3.65,0
57,Fall,MT119,Calculus and Analytical Geometry,3,B+,3.33,3.65,3.65,0
57,Fall,CL118,Programming Fundamentals - Lab,1,A+,4,3.65,3.65,0
57,Fall,CS201,Data Structures,3,B+,3.33,3.71,3.67,0
57,Spring,MT224,Differential Equations (Cal II),3,A-,3.67,3.65,3.65,0
57,Spring,CL217,Computer Programming Lab,1,A,4,3.65,3.65,0
57,Spring,EL227,Digital Logic Design - Lab,1,A,4,3.65,3.65,0
57,Spring,EE227,Digital Logic Design,3,A,4,3.65,3.65,0
57,Spring,CS217,Computer Programming,3,C+,2.33,3.65,3.65,0
57,Spring,SS122,English Composition,3,A+,4,3.65,3.65,0
57,Spring,SS113,Pakistan Studies,3,A,4,3.65,3.65,0
57,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
57,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
57,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
57,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
57,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
57,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
57,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
